"","ten_two","ten_two_unexp","ten","ten_unexp","cpi","cpi_unexp","jobs","jobs_unexp"
"108",2.275,0.0794083762201657,-0.0164041533370682,-0.0408665758584358,0.00959568706185534,0.00237748622263094,-0.00127203082285975,-0.00287258215760718
"109",2.22,-0.00585545305330479,-0.0752830604205483,-0.0575995408536853,-0.00109200120051565,-0.00891039336796189,-0.00172672513922864,-0.00212355763509154
"110",2.55,0.372185876928109,0.145293225993197,0.166050745716278,0.00734797155624811,0.00497369733977994,0.000291834025310319,0.000185989118687096
"111",2.45,-0.173581091159199,0.0164709605959245,-0.0758159236902141,0.0043290110895857,-0.00581303886062053,0.00246949684902155,-0.00105004514936437
"112",2.32,0.115278284907326,-0.071329321147971,-0.0349022602574212,0.00806672833559783,0.00637010234990263,0.00317758598965189,-0.000757504944473329
"113",2.125,-0.232399684610805,0.129135781151485,0.134323103284465,0.00773646649176951,-0.00133473522713767,0.00481781807293146,0.000468379568309776
"114",1.73,-0.022766487835763,-0.0508296875178655,-0.117452699029573,0.00688562042516339,0.00158817920684207,0.00286443462067234,-0.00370634793938449
"115",1.37,-0.301607829601219,-0.0353810489165852,0.0458210132728702,0.00945633524203544,0.00141765741992321,0.00441523517305471,0.00155670546785449
"116",0.885,-0.229284463741672,0.0400053346136992,0.0203128913356834,0.00573515649165893,-0.00285824144117127,0.00316709203188472,-0.003245065122677
"117",0.525,-0.181759597433065,-0.0388055744217951,-0.0560364913295744,0.00673577676245699,0.000526255754176843,0.00571374423997145,0.00202581826608338
"118",0.265,-0.104091795801842,0.0119190922372103,0.0541087542887313,0.0163896114289855,0.00733598590670923,0.00534295065519217,-0.00157286727999255
"119",0.13,-0.00882795147281895,0.0642422687283537,0.0371643429896696,0.00885073422132564,-0.00253484701112106,0.00344859289271406,-0.00183732738803313
"120",-0.04,-0.133774665237077,0.0154358081298392,0.000309110064462305,0.00452148471884606,-0.00354303581991669,0.00609957354380754,0.00214736557932358
"121",0.065,0.24202457792184,0.0998750383811553,0.113873720516243,0.00873367996875463,0.000862071228919555,0.00392230164899563,-0.00337029102833524
"122",-0.035,-0.196953110195325,-0.0291331502699423,-0.0712125740690355,0.0101348043356283,0.00305812875158356,0.0031209502463914,-0.000438880713405692
"123",-0.105,0.0767414999954728,-0.0544637207515245,-0.0130462045841724,-0.00394283408770722,-0.0128617522894325,0.00267362259590956,-0.00107985103148962
"124",-0.07,-0.104109450170286,0.00322407587175268,0.0104029806240223,0.00915549115493713,0.00841861254567755,0.00414602290526991,0.000353711477586311
"125",0.05,0.178725674289001,0.0491988278449191,0.0451976737608726,0.0107391193229089,0.000327082303101435,0.00238372216442104,-0.00196525875796937
"126",0.345,0.140100507347961,-0.0279666077391451,-0.0263313834681166,0.00726409460771896,0.00307867443648863,0.000717269191437787,-0.00208154682144675
"127",0.77,0.342839252253635,-0.0981503437079375,-0.0808732539296265,0.0107197020699042,0.000380477815759367,0.00169332119482638,-0.000612663766646375
"128",1.575,0.634214041682999,-0.174243036228753,-0.159312578965375,0.0117861541587782,0.000335707352290539,0.000303626166232985,-0.00192989245346231
"129",1.48,-0.323458041396241,0.0705548693237167,0.112220701521747,0.0134956956386383,0.00394949384253342,-0.00336672620016555,-0.00471606848598856
"130",1.525,0.177782803431958,-0.0103360093306621,-0.0649621993172124,0.014500128062662,0.00179740420739619,-0.00542138789330134,-0.0037703579703554
"131",1.96,0.108928296872546,-0.211843996060276,-0.173969704818822,-0.0215064535512713,-0.0351612513845306,-0.011458995377461,-0.00871043508530914
